epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,29643.5,1.97074,0.98133,0.00313,0.83499,0.60291,0.69056,0.375,1.80689,0.88913,0.00416,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,30441.5,1.98941,0.98779,0.00306,0.83747,0.60181,0.69137,0.37508,1.80804,0.88748,0.00417,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,31316.6,1.97689,0.9825,0.00307,0.8356,0.60342,0.69151,0.37516,1.80831,0.88846,0.00417,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,31877.8,1.9543,0.96791,0.00303,0.83802,0.60286,0.69159,0.37505,1.80895,0.88838,0.00417,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,32118.7,1.98005,0.97883,0.00304,0.83914,0.60415,0.69286,0.37537,1.81002,0.88538,0.00417,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,32910.2,1.95335,0.96765,0.00304,0.84251,0.60279,0.69274,0.37592,1.80827,0.88584,0.00416,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,34096.3,1.97379,0.97885,0.00304,0.84048,0.60414,0.69301,0.37575,1.80936,0.88621,0.00416,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,34319.9,1.95959,0.97519,0.00303,0.84131,0.60337,0.69333,0.3756,1.80821,0.88672,0.00416,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,34576.9,1.9602,0.97367,0.00305,0.8448,0.60235,0.69383,0.37617,1.8073,0.88527,0.00416,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,35809.1,1.95737,0.96126,0.003,0.8429,0.6041,0.69429,0.37604,1.8066,0.88697,0.00416,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,36063.2,1.95838,0.96478,0.003,0.84327,0.60407,0.69426,0.37595,1.80522,0.88709,0.00415,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,36292.4,1.93629,0.95495,0.00301,0.84368,0.60455,0.69399,0.37639,1.80525,0.88818,0.00415,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,36522.5,1.93196,0.95241,0.00299,0.84428,0.60415,0.69398,0.37655,1.80495,0.88844,0.00415,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,37042.3,1.94555,0.95716,0.00297,0.84564,0.60425,0.69445,0.377,1.80383,0.88755,0.00415,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,37759.2,1.94527,0.95413,0.00297,0.84563,0.60405,0.6948,0.37728,1.80243,0.88789,0.00415,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,37968.3,1.92921,0.94819,0.00297,0.8449,0.60413,0.69472,0.37729,1.80256,0.88814,0.00415,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,39173,1.94318,0.94928,0.00295,0.84542,0.60438,0.695,0.37739,1.80316,0.88677,0.00415,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,39916.5,1.93394,0.9495,0.00293,0.84623,0.60456,0.69513,0.37766,1.80296,0.88629,0.00415,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,40172.6,1.94455,0.95089,0.0029,0.84581,0.60536,0.6955,0.3776,1.80295,0.88726,0.00415,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,40433.1,1.91882,0.94261,0.00291,0.84654,0.60536,0.69563,0.37769,1.80294,0.88633,0.00415,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,41124.9,1.92027,0.93529,0.00289,0.84634,0.60498,0.6959,0.37768,1.80308,0.88614,0.00415,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,41354.7,1.91558,0.94112,0.00291,0.8467,0.60535,0.69638,0.37782,1.80344,0.88544,0.00415,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,41569.1,1.91073,0.93817,0.0029,0.84595,0.60586,0.69646,0.37801,1.80319,0.88531,0.00415,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,41796,1.90323,0.9335,0.00287,0.84728,0.60589,0.69681,0.37825,1.80297,0.88424,0.00415,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,42808.5,1.90511,0.9349,0.00287,0.84822,0.60533,0.69669,0.37812,1.80386,0.88453,0.00416,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,43031.3,1.89641,0.92709,0.00285,0.847,0.60538,0.6966,0.378,1.80372,0.88501,0.00416,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,43239.7,1.90321,0.92959,0.00287,0.84538,0.60632,0.69655,0.37804,1.80368,0.88492,0.00416,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,44496.5,1.89012,0.92539,0.00287,0.84609,0.60601,0.69676,0.37814,1.80454,0.88377,0.00416,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,44727.7,1.88916,0.92316,0.00285,0.84658,0.60599,0.69703,0.37822,1.80409,0.88463,0.00415,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,44991.8,1.90196,0.9281,0.00281,0.84674,0.60601,0.69702,0.37781,1.80474,0.88432,0.00416,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,45208.8,1.87717,0.91937,0.00282,0.84622,0.60603,0.69692,0.37758,1.80531,0.88452,0.00416,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,46591.2,1.87502,0.90919,0.00281,0.84624,0.60583,0.69697,0.37797,1.80561,0.88456,0.00416,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,46815.4,1.86618,0.90993,0.00283,0.8452,0.60601,0.69692,0.37794,1.80597,0.88402,0.00416,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,47034,1.86438,0.90661,0.00281,0.84558,0.60611,0.69694,0.37794,1.80573,0.88432,0.00416,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,47283.5,1.76454,0.85588,0.00309,0.84577,0.60602,0.69694,0.37811,1.8059,0.88375,0.00416,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,47508.3,1.76842,0.84914,0.00304,0.84604,0.6059,0.6967,0.37822,1.80631,0.88332,0.00416,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,48612.8,1.74209,0.8391,0.00304,0.84669,0.60576,0.69657,0.37804,1.8061,0.88348,0.00416,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,48837.8,1.744,0.83437,0.00303,0.84724,0.60543,0.69649,0.37802,1.80593,0.88327,0.00416,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,49068.3,1.73313,0.82944,0.00304,0.84761,0.60533,0.69634,0.37804,1.80616,0.88293,0.00416,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,50305.8,1.74186,0.83469,0.003,0.84756,0.60511,0.69625,0.37801,1.8062,0.88359,0.00416,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,50524.8,1.73458,0.82933,0.00298,0.84698,0.60521,0.69612,0.37805,1.80619,0.8839,0.00416,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,50755.4,1.73943,0.83081,0.00297,0.84622,0.60576,0.69636,0.37793,1.80627,0.88448,0.00416,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,51526.4,1.72649,0.82573,0.00298,0.84704,0.60512,0.6964,0.37803,1.80639,0.88363,0.00416,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,53916.1,1.73029,0.823,0.00295,0.84665,0.60516,0.69644,0.37795,1.80664,0.88372,0.00416,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
